name,category,color,price,image_url1,image_url2,image_url3,image_url4,image_url5,image_url6,brand,link,description,gender_target,style,created_at
Nerdy Equations T-Shirts,Printed T-Shirts,Unknown,549,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQRWoHHkCqCSZPhdAoNEZg_HohfXF-aIiSgqkM4uC31sWicUHVBPMYugTS_RopNFiy6qjcnxAg9kXgbG1bs7vp1QLc6m99h&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRRVGcmO2EZC3dE0SxWJTMz5sSp0y-T-gOhrODvKMPt4gzCH17isRMPYpxP9TmetJUvVQNnqhvfPhEZX89ZJwP4zwuK1Nj2&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSm_G0whK8vYlq4t-RPu931bZ5sE_As9hkxjuNWq-nVrqaCAlQzd-2MXpQLSLTkdoiXUIWuVRr0aRLd6pIBFOyTXHR2-co_&usqp=CAY,,,,The Souled Store,https://www.thesouledstore.com/product/nerdy-equations-tshirt?srsltid=AfmBOopAzc3gEWr6kNqvftvrezzFNYEHS7t56felPuvY8p2oO3m35fUvZIA,There's no denying the fact that it's the nerds who are going to end up ruling the world one day. Flaunt your nerdiness with this cool t-shirt. Buy...,Unisex,Casual,2025-09-09T15:02:49.580472
The Souled Store Men's Harry Potter Platform Ticket Oversized T-Shirt,Printed T-Shirts,Unknown,1129,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT35QYlxAJBwGEOdngmNWNKwXF7n0XcXoPRZ1d-3R3SiJUy5sCT8mow2bcWyi16F8lXcs1523hAKZ2VTzmPnsPHczC-gb0V&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTzf967xPTjwc3SV5wKwzPjM16RMqnKrB6pvqjDv_vLn-fcehwyaBiLpCCqiPdRov_ZsL2cMIvTJG6HocFeoBkTXR70V_aW&usqp=CAY,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ6QBoFihBCRKVURUqJObCazh6D4NsRQj6QUhF-t-IFWMecvDkTiFJXRH5koLe35iToBFX2LvwtOX9Ak-UtnGYa0kkUwKVTeg&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSUMAvKYHBbsCvG4TPnX7ktKfKVGgpbUg5Lg4xGwxa6_MRFq-2Cq1lCVIySvucjLtu4WPs0tsoAEC3_S7ydtrhkFIwowCyrrw&usqp=CAY,,,The Souled Store,https://www.thesouledstore.com/product/men-oversized-t-shirts-harry-potter-platform-ticket?nsbp=true&srsltid=AfmBOooG5H-4gxnWEJg_LXs1IuDWG_oaEVATdjBgLTDBN7zWsu_9FNR1ucY,Step into the wizarding world with this oversized Harry Potter tee featuring a platform 9three fourth applique patch. Crafted from premium heavy-ga...,Unisex,Casual,2025-09-09T15:02:59.292224
The Souled Store Men's Colorblock Regular Fit T-Shirt,Printed T-Shirts,Unknown,649,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT0x516mT6RP5--kLTia-uyLE-4LNo7jzmqmT1lpXdmE0cwhS1iASsuG9IDydN-VkGrPRKRo4SoxhRZcmcJUV2lJ8y888K2&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT6HWn95ASr4h7XXhk9s-Sz3J5169MOKwzeWzBRG6bgE7MQzDCW3Mv9_tBKreSJQcdGrdtrJqXr9uWmaheOydVc2aGGVm5qkQ&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQh0TNApuAkZBj9QLvssC7JZJDSqUU2dsx0wmuR_v8xtqDt6AjVWWm7IaNmb3483a5j2dpaBVWkQHVlEkwUxkEQNiK3EHGTzQ&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRXkxVW-Dd-umHXE18-OSWrKBcn6wSUtaLVhngEbehrGDXXNyAXulM8j6YwpBerWtWahEYam3bLblbOuF58J7MBfn0fzS4C0A&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT_1vpxjwhzVcJqep0Bfghh55FY1RvTJVwfCecZ97vNYMDVxAnSKJqiIEkc0PFZ-VjGJXNq5Ou25TLAp4np5lX31ICWG6h9&usqp=CAY,,The Souled Store,https://www.thesouledstore.com/product/drop-cut-t-shirts-naruto-sasuke?nsbp=true&srsltid=AfmBOoruMkuN2Z8_W5paIzUlQC3m4C0OBmT71plxJNDjXug_IkvnqdI4U_Y,"Level up your casual style with this purple t-shirt from The Souled Store. Crafted from pure cotton, this trendy tee features half sleeves and a ro...",Unisex,Casual,2025-09-09T15:03:10.845377
The Souled Store Men's Printed Round Neck T-Shirt,Printed T-Shirts,Unknown,749,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRzBvrTA8pMpKBYQrbwXwh75FO09ja4sC2bbAaQdSeS7MKuwfesM7cehOt79HoiEC_LvHuWZqGT9-eH3MEI_W2Z6Q7g7oD5&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcREi43bbFi451Mt0iW11EYuG4abmIpTCQM3kd-tk6hNZByAZ3T9SDcnadJreNVtDfAohnBH-8-Ipj_gahDr2GNt4Yjk9ejG_A&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcST1CyIgf2GxVwqKHdBXyAk7VJU_O6PuURB1XMZn8vToqMzFeMe3M7q9ZVY-kzY7-SJ1PmASm28Il-FKaDRRVTpIh6Ihm8_&usqp=CAY,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRV1yBZNJa953RHkRAv6VtVJEodxuc9XLmMxlcdgf4Dgm3KRjEjKfpxPOGHWW0MEvzfi-jYQ35Y9lhUbIgN6KGXz2Mh_Ye4&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-5hfehSPmIejLvumHgLVi9bGAa_Bd63ptez9SHDZ2dJTI1Q-R1NykJ-kZhchc2m1nNeTVMFdaJdUOrpmzeKxi00eNekBZtw&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSibWT7dy1zI-Q3fgDvNjiShsrlmH5INNoPXmEUdzPTsYLIY5cVqnRJWBZkSBw1iIHTfteOzf7lwAoTCghnHzU5A3WQLnkTHQ&usqp=CAY,The Souled Store,https://www.thesouledstore.com/product/lotr-one-ring-men-relaxed-fit-tshirt?nsbp=true&srsltid=AfmBOoqXpzMm1s8t9v5P2XvMj47FWV8jF6Y2HEaUvadOkOPfbvngNIJVUhw,"Elvish script meets fandom swagger in this 100 Percent cotton tee. Perfect for casual hangs or epic quests, its relaxed fit and breathable fabric k...",Unisex,Casual,2025-09-09T15:03:17.624942
The Souled Store Men's Graphic Printed Oversized T-shirt,Printed T-Shirts,Unknown,1129,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQYup2CS5JtK0Z9ywPg11mkRF5nhCMLmQsWIydHuIMVvFQn3NSNxujcAk89_8-7RwiiyUfUSuJb1rXoPCYmKelaCESm6tTY&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTcWM3uZ-jI5KUv83aHmPd6tUODYY4YdcYzR4Shh-CeWt26LjE1DrRz3wATYiy3IOIKa5LBqoJyOvhdEzLmXbYU0LnNnkU9&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQovdohE8f5KOHk36DJYdKjH6JYQU__2jeNENHfAajNnVtiKSZStflGYuN9SA-LyfYuRBevNTJQXYLgQE0dSVtJknu_Z0hBag&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTRGjnpU3V360Y-VYUUKfzt4bE672WwNI_3splMkn9HX01A7sAWpZ7vwIW1tOjoZq1tOO9WzjpHcWJkdE3OnfP1Idv0hpk-Ng&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSQb_hCcfPi00j92xaTshnCWGmVT5nCkXqjlMFxpKz9rr1BCzPjaNox40L59KlLOeCIW1SFnMFYz02sl1thd21fHBRU3Z6R&usqp=CAY,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQa_CJl3k2Wj7Wa0RY47CaA2jo-B45g93eSGMAx00rcJ-2y1MW3-vdezRqZ7p4BSy6gxUSf44WPzHGD-upNCGIgrMUGg8bEWg&usqp=CAY,The Souled Store,https://www.thesouledstore.com/product/freedom-wings-of-honour-men-oversized-tshirt?nsbp=true&srsltid=AfmBOoozhO2EWIWpDZ6PBgnCTvRZJxLslxjoNllx8QfCAnf7ZALlEWXrKHU,This one is special. It's not just any patriotic wear. This tee is made with pride to celebrate our freedom. To celebrate the heroes of India.Style...,Unisex,Casual,2025-09-09T15:03:18.162357
The Souled Store Star Wars Mando T-Shirt,Printed T-Shirts,Unknown,499,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRsINxHU1SYKHb9NlyAJ_GnlhdZmNv4H2o4-EfS96AVuTRP1b9ePsK5Ke48EKPUG0WUZh0IH-diojIMMS7jJDq4_aIOxqg9vw&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSp9HoETuydh-ybbmh87c8PaKbn3aIOzM7t65DWGPTIlds8FsCxPwVWiyF86Ax_ZisACHPUZ7kxykxvCxtSinEpyohwdcVt&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQbMKO5uIZq70ZZOMArbh8HX0bF231zx3O6pSloKAolzUc1LW544Hv52alFcjw8_wxc9FdSV-TFUT1SAg47IdHtPIai_r3YeQ&usqp=CAY,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTEBNt_lQfrTyqpLL_Y3fF_Eq7wP9xjq8oYCW5F4ohXpxErFMdTRVzuBCmkXabyW8qvGbbsXnZpE3RiFOhc4WDULxgF9RLqOg&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRC9Uq9dzM89VwpTtFeao6qjYTfhTF0ywEhtaaMutyuPVE-JMTbwWSH8VPrwJQK5q7zowuNnfBpFyxt-WC_YWis1b_msRTnbA&usqp=CAY,,The Souled Store,https://www.thesouledstore.com/product/star-wars-mando-t-shirts?nsbp=true&srsltid=AfmBOorWPmq8njgpl_8n9OOrO4AY-A5j97ljDFKQDlglueI_cZZINEF0Ogo,Pack Of Is 1. Brand Color Is White. Occasion Is Casual. Size Is 3xl. Sleeve Is Half Sleeve. Suitable For Is Western Wear. Tee Length Is Medium. Sle...,Unisex,Casual,2025-09-09T15:03:19.181006
The Souled Store Men's Kung Fu Panda Peace T-shirt,Printed T-Shirts,Unknown,899,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTscnyqaHV0HjgrcberbhEDdRzz7EZe5FlqoIvamxgphZq08yw_RAI54PeFhxP5tzBE-cuJZsk5SIsxiGlq9_zApvM2_Fs&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS7yOY448H0DwNQm2DKahxFdjAHfuMOKXR-tP-lyuHMQhyc1jiKMpGrwVjJZzUKE6TXjFX6jeKA3f3yLRyp0sCmLAgMJHMloA&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTaNlaZMTVQP8jNPrnGxkWpOB4jFFLq6GNItEfOMzoQpBQoMpMCPB1Kt_FcSMeOExFv9uXopoRofw7UZb-D2uA6AshhRgBw&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR6Nf_yyJc33SkkieUhJQlVem-TsHzzjbjlssv5cv7YQQhPgXkBDP4xyWuH421QOErDeKUzKYi0z6ZCSkp00zOptqyDUqCm&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQRU3QVCOn5aubjhp3E2WPduwiNFLc75Aawr0hx6IWZLR9dMTd9a9MXBVUThq8ArfVNo0pTcnBsaH0UJyFXK680dSUnYolE&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRv_sCY6K6mTn2EvewjCyKbWgJjPTqfqp2cXE5ud4wtSQozEFD_jdhK_J_xEwB-6WOgB7peiDwvHv9kqsFUn0NC7voeBaxa&usqp=CAY,The Souled Store,https://www.thesouledstore.com/product/kung-fu-panda-peace-men-t-shirts?nsbp=true&srsltid=AfmBOop09mAbUb6iPkB-SO_aX1d8T3bvP8gexwviN_VmXbyvAZDqQTSa88c,"Up your casual style with this off white t-shirt from The Souled Store. Crafted from pure cotton, this trendy tee features half sleeves and a round...",Unisex,Casual,2025-09-09T15:03:20.182800
The Souled Store Men's Printed T-shirt,Printed T-Shirts,Unknown,449,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcReHZK0LqiAaUZGjgQYRIaMCBUOUHPp_a9IUOkqMlqZHtDRy5yr&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTWdIGNkjSXvf24L-ZrkQtrn-DWuvkRTNhtlRt3dGD63NG7Mkf6&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTM-Cm4I6phJ3zk8b3wxoRfhSq6fnkd_WXAk3G0hwJ4PbfMCyc&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTwzs3K7LxttwgGSOWgarvJen1DnK3zf7eKh_HvUNDC3YfpLhE&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSMH6eUq0u_FrOGgWEk_JwiM1hJy35gJ1RG2mXtKl-K0RYQ41QC&usqp=CAY,,The Souled Store,https://www.thesouledstore.com/product/green-day-kerplunk-men-t-shirts?nsbp=true&srsltid=AfmBOoo9Hrcf5RGap2eSaPmvVazI4fL7vZ2EPnpXD-3bitJOHHkgaV63AWE,Revamp your closet with this black t-shirt from The Souled Store. Made with high-quality pure cotton fabric. It features typography pattern with ha...,Unisex,Casual,2025-09-09T15:03:22.558157
The Souled Store Men's Naruto: Hidden Leaf T-Shirt,Printed T-Shirts,Unknown,599,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQJbGNqb-6Y23FYsCrElK-zVrGEqBO8N5QS4ze7xizchxBowKvANwTue9voxHLf924tBISeKZlYA4wRSHloPrzpCDgRPUng&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTR94yyBEzCZKXbDp9GwdBVJ-jpIi8ipDGAx_uyMymzqzHaChhVGxqe9gTI79rdOfNO4GqhnfmyoWPpvjPhxXv9gU13HJ-m&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQpLr9ubRj3gobx1KhUtgnBq5F16BolMwomwv-KgTxUcv_gQyIa8BADq9yMHMAGq-iHyj8ZLSbQjTQs59Ltu2fcAuXLPfEn&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSPJkhuzlkcZhdejGS2dX3oF8jmblXy9IIvv92nAmrZURh-pTLwCBlsC8otf9Kj3xes_ZofZi9buMJnfzyy45PzZ6feI5NGTw&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTVI8hhA5n1IE_MbfOlkEDNGkjmDJEJSrZffhwJ85IzCwqOR5iBFA3Sr6YPcP2DcjyYOVMaA2I_R0Sb8mXrhLDoTth7Z2MRUg&usqp=CAY,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSgmhaDoQRQX5mq1_A28tWNEMZDrN9wEnzZ9tf2_0W-dwpFJLM323nUdxt-3QjnNijTOxd2fyTWMubrcv6lTDywAciFkQd9NQ&usqp=CAY,The Souled Store,https://www.thesouledstore.com/product/naruto-hidden-leaf-men-t-shirts?nsbp=true&srsltid=AfmBOopOIKUmOGc8mWji0rjk4qtCf9u_eyal3GkiO_IdUVu8I0WG3TMJz7A,Pack Of Is 1. Brand Color Is White. Occasion Is Casual. Size Is 3xl. Sleeve Is Half Sleeve. Suitable For Is Western Wear. Tee Length Is Long. Sleev...,Unisex,Casual,2025-09-09T15:03:24.305669
The Souled Store Men's Lion King Scar T-Shirt,Printed T-Shirts,Unknown,449,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRpQSfVrPzT6hj-GuhZ9QnjQaPwWlXwFj9GikYAI9Kwljij90fMgI3d0IKLXs-YQ3zMIOsC4TvRZlrvjL5bsC1aiHPR_PKJGQ&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRUig4Luk2dW51C-m-pmqL8fEv7Mc3q7ZhHKFzqJIViAuf8imj5FKNg1jWZ5CaTDGPjwXCU-XJPuLurC8zCLV9GhTsEHaOZOw&usqp=CAY,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSI0vV3BjPWAy9i7onILOz6LMApt0kKX61ppI-xYBxI8QY0bVWflX5dbhDs5xpHutWGFe9RTKGthiFFQ6JOT0-8tT-5aiR7uA&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSvCkR86QY-gWIB2maT5pkfVY-r1Pg_Za4aV7ET3g57Mc0gY0UabOiTesIWQQPzUi0cKmVoQ0qwwl59Vj6MpoAfK_U1EQ61&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSJSczoeZOzvwI-TPgEVggbDgAKRNA0ASQ6yLcC8yRqquWipV9JzOE6AYMmWAEjQRNOVfQhZaMPbAWRfLum6AhR3ncfg8pH&usqp=CAY,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRHSaJkTZLnksz9c14xugVknHMyu_LemT4sRvAfdF6B7xdctDrOq7POAZMKoSJL-A5VaXKQcXQfO7EBh5vPkqfwDn6vAk2b&usqp=CAY,The Souled Store,https://www.thesouledstore.com/product/the-lion-king-scar-men-t-shirts?nsbp=true&srsltid=AfmBOoo-ooQEtyhttqxEIX2BkEsQ7lwp9krub-Birm5pAn-pJqEGkes-fUE,Looking to make a statement with the perfect outfit at your next brunch plan? It is made from premium quality fabric and features a half sleeves an...,Unisex,Casual,2025-09-09T15:03:25.611897
